Material;Centro;Clase de valoración;Texto breve de material;Última modificación;Tipo material;Grupo de artículos;Unidad medida base;Grupo de compras;Indicador ABC;Caract.planif.nec.;Categoría valoración;Control de precios;Precio;Moneda;Cantidad base;Creado por
100000;CD00;;GENERADOR EOLICO 300 W;28/10/2021;ZMBT;FEGE0300;C/U;;;ND;MD04;S;198;COP;1;AE79461
1000001782;CD00;;SERVICIOS DE INSPECCIÓN ELÉCTRICA CU;7/6/2019;ZMSO;LEIL0804;C/U;;;;S075;S;0;COP;1;CO52264919
100001;CD00;;PLANTA ELECTRICA DIESEL 20 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100002;CD00;;PLANTA ELECTRICA DIESEL 40 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100003;CD00;;PLANTA ELECTRICA DIESEL 60 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100004;CD00;;PLANTA ELECTRICA DIESEL 80 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100005;CD00;;PLANTA ELECTRICA DIESEL 100 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100006;CD00;;PLANTA ELECTRICA DIESEL 125 KW;28/10/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100007;CD00;;PLANTA ELECTRICA DIESEL 200 KW;11/11/2021;ZAT;FEGE0300;C/U;;;ND;MD04;S;1;COP;1;AE79461
100008;CD00;;PLANTA ELECTRICA DIESEL 500 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100009;CD00;;PLANTA ELECTRICA DIESEL 800 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100010;CD00;;PLANTA ELECTRICA DIESEL 1000 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100011;CD00;;PLANTA ELECTRICA DIESEL 1500 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
100012;CD00;;PLANTA ELECTRICA DIESEL 2000 KW;28/10/2021;ZAT;FEGE0200;C/U;;;ND;MD04;S;1;COP;1;AE79461
110002;CD00;;TRANSFORMADOR DISTRIBUCION CHATARRA;27/3/2023;ZMAT;SRTS0900;C/U;;;ND;MD07;S;0;COP;1;USER_TAM
110024;CD00;;TransformPotencia 30/35/40MVA 230/34.5kV;24/6/2022;ZAT;FETR0503;C/U;;;ND;MD01;S;2,434,057,658;COP;1;USER_TAM
110025;CD00;;"AUTOTRA MON500/√3;120/√3;11,4KV USO EXT";28/10/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;4,420,000,000;COP;1;USER_TAM
110026;CD00;;AutotrafodPotencia 90MVA 230/115/13.8kV;6/7/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;1,885,680,000;COP;1;USER_TAM
110027;CD00;;Trafo 225kVA 11400-208/120V semisumerg;30/11/2023;ZAT;FETR1502;C/U;;;ND;MD01;S;50,976,994;COP;1;USER_TAM
110028;CD00;;TransformadPotencia 40MVA 230/115/13.8kV;28/10/2021;ZAT;FETR0503;C/U;;;ND;MD01;S;2,265,973,508;COP;1;USER_TAM
110030;CD00;;"Trans 2.5MVA 34,5/13,2-11,4kV;NLTC+-2,5%";27/3/2023;ZAT;FETR0503;C/U;;;ND;MD01;S;455,778,400;COP;1;USER_TAM
110031;CD00;;Transf 40MVA115/12kV OLTC NATURAL ESTER;30/4/2024;ZAT;FETR0503;C/U;;;ND;MD01;S;3,362,665,183;COP;1;USER_TAM
110032;CD00;;Trafo 3F 400kVA 11.4kV aceite vegetal;4/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;39,297,683;COP;1;USER_TAM
110033;CD00;;Trafo 3F 225kVA 11.4kV aceite vegeta;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;22,925,611;COP;1;USER_TAM
110034;CD00;;Trafo 3F 150kVA 13.2kV aceite vegetal;1/3/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;15,753,304;COP;1;USER_TAM
110035;CD00;;Trafo 3F 150kVA 11.4kV aceite vegetal;2/11/2024;ZMBT;FETR1502;C/U;;;ND;MD01;S;16,550,369;COP;1;USER_TAM
110036;CD00;;Trafo 3F 75kVA 13.2kV aceite vegetal;3/1/2023;ZMBT;FETR1502;C/U;;;ND;MD01;S;11,776,708;COP;1;USER_TAM
