CODIGO_E4E;CODIGO_EC;DESC;CONTRATISTA;UNIDAD;DISPERSION;GM
NF0005;ACO104;T0 - INSTALACIÓN DE CRUCETA ROLLIZA SIMPLE O DOBLE EN DISPOSICIÓN DE PASO. INCLUYE CERCOS DE PROTECCIONES;JA10136439;Unidad;T0;LELE0501
NF0006;ACO105;T0 - INSTALACIÓN DE CRUCETA ROLLIZA SIMPLE O DOBLE EN DISPOSICIÓN DE REMATE O DERIVACIÓN.;JA10136439;Unidad;T0;LELE0501
NF0007;ACO106;T0 - RETIRO DE CRUCETA ROLLIZA SIMPLE O DOBLE EN DISPOSICIÓN DE PASO  INCLUYE CERCO DE PROTECCIONES;JA10136439;Unidad;T0;LELE0501
NF0008;ACO107;T0 - RETIRO DE CRUCETA ROLLIZA SIMPLE O DOBLE EN DISPOSICIÓN DE REMATE O DERIVACIÓN.;JA10136439;Unidad;T0;LELE0501
NF0009;ACO108;T0 - RETIRO DE RED  AÉREA DE TELECOMUNICACIONES POR  VANO;JA10136439;Vano;T0;LELE0501
NF0010;ACO109;T0 - TRASLADO MANUAL DE CRUCETAS ROLLIZAS O APARELLAJE EN LUGAR INACCESIBLE PARA VEHÍCULO.;JA10136439;m;T0;LELE0501
NF0011;ACO110;T0 - BASE ESPECIAL DE HORMIGÓN ARMADO PARA POSTES (RED CUADRUPLEX);JA10136439;Unidad;T0;LELE0501
NF0012;ACO111;T0 - INSTALACIÓN DE ACERO DE REFUERZO DE 60000 PSI;JA10136439;kg;T0;LELE0501
NF0013;AHO098;T0 - CAMBIO DE POSTE DE MT;JA10136439;Unidad;T0;LELE0501
NF0014;AHO099;T0 - CAMBIO DE POSTE DE BT;JA10136439;Unidad;T0;LELE0501
NF0015;AHO102;"T0 - INSTALACIÓN DEL POSTE MOZO (REFUERZO) MT Y BT CON TIRANTE (LARGO Y CORTO)
";JA10136439;Unidad;T0;LELE0501
NF0016;AHO103;"T0 - RETIRO DEL POSTE MOZO (REFUERZO) MT Y BT CON TIRANTE (LARGO Y CORTO)
";JA10136439;Unidad;T0;LELE0501
NF0017;AHO108;T0 - BASE DE HORMIGÓN PARA POSTES CON CIMENTACIÓN;JA10136439;m3;T0;LELE0501
